,"New York, NY","Los Angeles, CA","Chicago, IL","Houston, TX","Phoenix, AZ","Philadelphia, PA","San Antonio, TX","San Diego, CA","Dallas, TX","San Jose, CA"
"New York, NY",0,4488604,1271038,2617854,3872715,151753,2931721,4440447,2489493,4721507
"Los Angeles, CA",4488629,0,3243342,2489897,600181,4359746,2175375,193497,2310393,546474
"Chicago, IL",1271275,3242365,0,1727879,2821547,1221774,1929670,3341754,1490109,3475268
"Houston, TX",2620560,2490351,1742651,0,1892338,2485166,316885,2365857,384818,3036490
"Phoenix, AZ",3876123,598443,2820787,1894112,0,3768196,1579591,570661,1714608,1144581
"Philadelphia, PA",151170,4362075,1222410,2489378,3769117,0,2803245,4336849,2361017,4672880
"San Antonio, TX",2930870,2176051,1929627,316608,1578038,2795477,0,2051556,440105,2722189
"San Diego, CA",4441363,193655,3342630,2365208,571281,4333436,2050686,0,2185703,740081
"Dallas, TX",2491477,2310286,1491130,385018,1712273,2356084,440404,2185791,0,2718096
"San Jose, CA",4727992,547589,3482706,3034648,1144932,4678491,2720126,738897,2718674,0
